trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
105,False,"{'a': 0.4, 'e': 0.1737739434504451}",30,17,11.045576877226852,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.4, 'e': 0.17090171280152477}",30,12,-50.44124893563116,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
107,False,"{'a': 0.4, 'e': 0.16807695594952013}",20,2,-4.776891039971892,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
108,False,"{'a': 0.4, 'e': 0.16529888822158653}",20,8,21.282734910384224,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.4, 'e': 0.16256673791438075}",25,11,-27.376583269626018,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
110,False,"{'a': 0.4, 'e': 0.1598797460796939}",20,13,-0.2838692826819107,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.4, 'e': 0.15723716631362758}",30,11,23.621398738344993,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.4, 'e': 0.15463826454925478}",20,10,11.639077086844102,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.4, 'e': 0.1520823188527075}",35,18,25.786961772260852,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.4, 'e': 0.14956861922263504}",20,8,-14.146066628670585,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
115,False,"{'a': 0.4, 'e': 0.14709646739297683}",20,7,-31.011589628093006,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
116,False,"{'a': 0.4, 'e': 0.14466517663899503}",25,10,28.6726536360657,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.4, 'e': 0.14227407158651353}",20,9,-1.008300869412466,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
118,False,"{'a': 0.4, 'e': 0.13992248802430937}",20,16,9.089985903947307,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.4, 'e': 0.1376097727196054}",20,15,1.6447084832886523,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.4, 'e': 0.1353352832366127}",25,16,18.39091307615361,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.4, 'e': 0.1330983877580718}",20,14,12.887430480563788,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.4, 'e': 0.13089846490974427}",25,15,21.20777107078019,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.4, 'e': 0.12873490358780418}",20,15,8.6327725545527,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.4, 'e': 0.12660710278908355}",20,8,24.946479486131576,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.4, 'e': 0.12451447144412298}",25,0,30.479596994376628,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
126,False,"{'a': 0.4, 'e': 0.12245642825298189}",20,10,20.634117451621975,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.4, 'e': 0.12043240152376271}",20,12,18.774201240482093,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
