trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
24,False,"{'a': 0.05, 'e': 0.5488116360940264}",30,0,-68.26353969683585,"{0: 22, 1: 3, 2: 2, 3: 3, 4: 0}",0
25,False,"{'a': 0.05, 'e': 0.5352614285189903}",35,0,-132.94171870850806,"{0: 22, 1: 4, 2: 6, 3: 2, 4: 1}",0
26,False,"{'a': 0.05, 'e': 0.522045776761016}",30,0,-121.83589281819445,"{0: 16, 1: 6, 2: 7, 3: 0, 4: 1}",0
27,False,"{'a': 0.05, 'e': 0.5091564206075491}",20,0,-95.36562938566173,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
28,False,"{'a': 0.05, 'e': 0.49658530379140947}",25,0,-94.5708205953847,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
29,False,"{'a': 0.05, 'e': 0.4843245689553624}",25,10,-49.15927833430152,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
30,False,"{'a': 0.05, 'e': 0.4723665527410147}",25,0,-108.95084614989312,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
31,False,"{'a': 0.05, 'e': 0.4607037809989658}",20,0,-87.36559940950987,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
32,False,"{'a': 0.05, 'e': 0.44932896411722156}",20,0,-67.02611903870022,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
33,False,"{'a': 0.05, 'e': 0.4382349924649492}",25,0,-51.5448219850847,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
34,False,"{'a': 0.05, 'e': 0.4274149319487266}",25,0,-163.23979137093588,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
35,False,"{'a': 0.05, 'e': 0.4168620196785084}",25,0,-130.48862413189457,"{0: 16, 1: 4, 2: 1, 3: 2, 4: 2}",0
36,False,"{'a': 0.05, 'e': 0.40656965974059905}",20,0,-91.38882595960423,"{0: 13, 1: 0, 2: 4, 3: 3, 4: 0}",0
37,False,"{'a': 0.05, 'e': 0.3965314190749929}",25,0,-118.06327051036271,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
38,False,"{'a': 0.05, 'e': 0.3867410234545012}",25,0,-85.10871433255629,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
